login,n,name,blog
alperyilmaz,1,Alper Yilmaz,http://alperyilmaz.site/
apreshill,1,Alison Presmanes Hill,https://alison.rbind.io
christophM,1,Christoph Molnar,https://christophm.github.io/
denismaciel,1,Denis Maciel,
dgrtwo,51,David Robinson,http://varianceexplained.org
greg-botwin,1,Greg Botwin,@gjbotwin
halian-vilela,1,Halian Vilela,
ilarischeinin,1,Ilari Scheinin,https://ilari.scheinin.fi/
jjallaire,3,J.J. Allaire,https://www.rstudio.com
jl5000,3,Jamie Lendrum,http://r-house.netlify.com
jonmcalder,2,Jon Calder,http://joncalder.co.za
juliasilge,368,Julia Silge,https://juliasilge.com
kanishkamisra,1,Kanishka,http://kanishka.xyz
luisdza,1,Luis de Sousa,www.growninconsultation.com
mbeveridge,1,Mark Beveridge,https://twitter.com/mbeveridge
MHenderson,1,Matthew Henderson,http://mjh.netlify.com
MichaelChirico,2,Michael Chirico,
nmjakobsen,1,Nina Jakobsen,
tmthyjames,1,Timothy James Dobbins,http://tmthyjames.github.io/
yihui,41,Yihui Xie,https://yihui.org
yuwen41200,1,Yu-Wen Pu,http://ywpu.me/
